topic_id,unit_id,subject_id,topic_name,description,objectives,NCERT_alignment,NGSS_alignment,SCERT_alignment
OS_PH_HS_01_01,OS_PH_HS_01,OS_PH_HS,Physics: Definitions and Applications,"Physics is the most fundamental of all sciences, focusing on energy, matter, space, time, and their interactions. It seeks to understand the foundational principles that govern the universe, explaining phenomena ranging from the motion of everyday objects to the behavior of subatomic particles and the dynamics of celestial bodies.
 
Modern physics has introduced groundbreaking theories that redefine our understanding of the universe. The theory of relativity, developed by Albert Einstein, demonstrates how time, space, and gravity are not absolute but vary based on the observer's motion and gravitational context. This theory provides profound insights into the nature of the cosmos, including black holes and the expansion of the universe. Quantum mechanics, on the other hand, explores the behavior of particles at atomic and subatomic levels, where the rules of classical physics no longer apply. It reveals a world governed by probabilities, wave-particle duality, and fundamental uncertainties.
 
Physics forms the basis for all other sciences, such as chemistry, biology, and geology. It explains how atoms interact to form molecules, enabling the study of chemistry, and how energy transfer powers biological processes. In geology, physics provides tools to understand Earth's structure, seismic activity, and the properties of minerals. Essentially, physics describes the fundamental ways the universe functions, making it indispensable to all scientific exploration and technological advancement.","[
 {
 ""objective"": ""Describe the definition, aims, and branches of physics"",
 ""dimensions"": {
 ""cognitive"": [""cg_02""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Describe and distinguish classical physics from modern physics and describe the importance of relativity, quantum mechanics, and relativistic quantum mechanics in modern physics"",
 ""dimensions"": {
 ""cognitive"": [""cg_04""],
 ""knowledge"": [""kw_02""]
 }
 },
 {
 ""objective"": ""Describe how aspects of physics are used in other sciences (e.g., biology, chemistry, geology, etc.) as well as in everyday technology"",
 ""dimensions"": {
 ""cognitive"": [""cg_02""],
 ""knowledge"": [""kw_02""]
 }
 }
 ]",,,
OS_PH_HS_01_02,OS_PH_HS_01,OS_PH_HS,The Scientific Methods,"Science aims to uncover and describe the underlying order and simplicity in the natural world. By studying patterns, phenomena, and relationships, science seeks to explain how the universe operates in a systematic and testable way. This pursuit of knowledge relies on well-defined processes and principles that guide scientific discovery and understanding.
 
At the heart of science is the scientific process, which consists of four key steps: observation, hypothesis, experiment, and conclusion. The process begins with observation, where scientists notice patterns or trends in nature that prompt questions. Based on these observations, they formulate a hypothesis - an educated guess that offers a possible explanation. Experiments are then conducted to test the hypothesis, during which data is collected and analyzed. Finally, conclusions are drawn to determine whether the hypothesis is supported or rejected. This iterative process allows scientists to refine their understanding and build on existing knowledge.
 
Scientific explanations often evolve into theories - comprehensive frameworks that explain natural phenomena based on a large body of experimental evidence. Unlike hypotheses, which are tentative and focused on specific observations, theories have undergone rigorous testing and validation across multiple contexts. For example, the theory of evolution and the theory of relativity provide broad, evidence-backed explanations for biological diversity and the nature of space-time, respectively.
 
In contrast to theories, scientific laws are concise descriptions of universal truths in nature. They often take the form of mathematical equations or brief statements that summarize patterns consistently observed across the universe. For instance, Newton's second law of motion succinctly describes the relationship between force, mass, and acceleration. Laws are universally applicable, providing a reliable foundation for understanding and predicting natural phenomena.
 
Both theories and laws are subject to change as new discoveries emerge. The advancement of technology and observational tools often leads to refinements in our understanding, ensuring that science remains dynamic and self-correcting. By maintaining this open-minded approach, science continues to uncover the fundamental simplicity and order that governs the universe.","[
 {
 ""objective"": ""Explain how the methods of science are used to make scientific discoveries"",
 ""dimensions"": {
 ""cognitive"": [""cg_02""],
 ""knowledge"": [""kw_02""]
 }
 },
 {
 ""objective"": ""Define a scientific model and describe examples of physical and mathematical models used in physics"",
 ""dimensions"": {
 ""cognitive"": [""cg_02""],
 ""knowledge"": [""kw_01"", ""kw_02""]
 }
 },
 {
 ""objective"": ""Compare and contrast hypothesis, theory, and law"",
 ""dimensions"": {
 ""cognitive"": [""cg_04""],
 ""knowledge"": [""kw_02""]
 }
 }
 ]",,,
OS_PH_HS_01_03,OS_PH_HS_01,OS_PH_HS,The Language of Physics: Physical Quantities and Units,"Physical quantities describe measurable properties such as length, mass, time, and electric current. These quantities are expressed using the metric system, which relies on powers of 10 to ensure consistency and simplicity across different scales. The fundamental units used in physics are the meter for length, the kilogram for mass, the second for time, and the ampere for electric current.
 
 Unit conversions are a crucial part of working with measurements, allowing values to be expressed in different units through conversion factors. These factors are ratios that equate different units, such as converting hours to seconds or kilometers to meters. This system enables seamless calculations over a vast range of quantities.
 
 Accuracy, precision, and uncertainty are essential concepts in measurement. Accuracy reflects how close a measurement is to its true value, while precision indicates the consistency of repeated measurements. Uncertainty quantifies the range within which the actual value is expected to fall, providing a clearer context for measured data.
 
 Significant figures convey the precision of a measurement, ensuring clarity in calculations. When multiplying or dividing, the result is limited to the number of significant figures in the least precise value. In addition or subtraction, the result is rounded to match the least precise decimal place. The metric system's use of prefixes such as milli- and kilo- simplifies working with large or small values by maintaining consistent relationships between units.
 
 These principles form the foundation for accurate and reliable scientific measurements, enabling clear communication and precise analysis across all fields of science.","[
 {
 ""objective"": ""Associate physical quantities with their International System of Units (SI) and perform conversions among SI units using scientific notation"",
 ""dimensions"": {
 ""cognitive"": [""cg_03""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Relate measurement uncertainty to significant figures and apply the rules for using significant figures in calculations"",
 ""dimensions"": {
 ""cognitive"": [""cg_04""],
 ""knowledge"": [""kw_01"", ""kw_03""]
 }
 },
 {
 ""objective"": ""Correctly create, label, and identify relationships in graphs using mathematical relationships (e.g., slope, y-intercept, inverse, quadratic and logarithmic)"",
 ""dimensions"": {
 ""cognitive"": [""cg_04""],
 ""knowledge"": [""kw_02"", ""kw_03""]
 }
 }
 ]","[
 ""NCERT_SC_11_01_01"",
 ""NCERT_SC_11_01_02"",
 ""NCERT_SC_11_01_03"",
 ""NCERT_SC_11_01_04"",
 ""NCERT_SC_11_01_05"",
 ""NCERT_SC_11_01_06""
 ]",,
OS_PH_HS_02_01,OS_PH_HS_02,OS_PH_HS,"Relative Motion, Distance, and Displacement","Relative motion refers to the concept of observing the motion of an object from different reference frames or perspectives. The motion of an object is not absolute but is always described in relation to a chosen reference frame. For example, a car moving in a straight line might appear to be stationary to someone inside the car, but to an observer on the side of the road, the car is in motion.
 
 Distance is a scalar quantity that refers to the total path length traveled by an object, regardless of direction. It is always positive and does not consider the displacement direction.
 
 Displacement is a vector quantity that refers to the straight-line distance between an object's initial and final positions, along with the direction of the path. Displacement accounts for both the magnitude and direction of motion.
 
 In relative motion, the relative velocity between two objects is determined by the velocity of one object as observed from another. The principles of relative motion, distance, and displacement are essential for analyzing various real-world scenarios, such as the motion of vehicles, projectiles, and objects in a moving reference frame.","[
  {
  ""objective"": ""Describe motion in different reference frames"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  },
  {
  ""objective"": ""Define distance and displacement, and distinguish between the two"",
  ""dimensions"": {
  ""cognitive"": [""cg_01"" , ""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_01"" , ""kw_02""]
  }
  },
  {
  ""objective"": ""Solve problems involving distance and displacement"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"", ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  }
 ]","[
  ""NCERT_SC_09_07_01""
  ]",,
OS_PH_HS_02_02,OS_PH_HS_02,OS_PH_HS,Speed and Velocity,"Speed is a scalar quantity that refers to how fast an object is moving, regardless of the direction. It is the rate at which an object covers distance over time. Since speed does not have a direction, it is only concerned with the magnitude of motion.
 Velocity is a vector quantity, meaning it includes both the speed of an object and the direction in which it is moving. It describes the rate of change of an object's position in a specific direction. Unlike speed, velocity takes into account the direction of motion. An object can have a constant speed but a changing velocity if it changes direction, such as when moving in a circular path. Thus, velocity provides more detailed information about an object's motion than speed.","[
  {
  ""objective"": ""Calculate the average speed of an object"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"" , ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  },
  {
  ""objective"": ""Relate displacement and average velocity"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_01"" , ""kw_02""]
  }
  }
  ]","[
  ""NCERT_SC_09_07_02"", 
  ""NCERT_PH_11_02_02""
  ]",,
OS_PH_HS_02_03,OS_PH_HS_02,OS_PH_HS,Position vs. Time Graphs,"When two physical quantities are plotted against each other, the horizontal axis is usually considered the independent variable, and the vertical axis is the dependent variable. In physics, time is usually the independent variable. Other quantities, such as displacement, are said to depend upon it. A graph of position versus time, therefore, would have position on the vertical axis (dependent variable) and time on the horizontal axis (independent variable). The slope in a position versus time graph, is the average velocity.","[
  {
  ""objective"": ""Explain the meaning of slope in position vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_01"" , ""kw_02""]
  }
  },
  {
  ""objective"": ""Solve problems using position vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"" , ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_07_04""
  ]",,
OS_PH_HS_02_04,OS_PH_HS_02,OS_PH_HS,Velocity vs. Time Graphs,"When two physical quantities are plotted against each other, the horizontal axis is usually considered the independent variable, and the vertical axis is the dependent variable. In physics, time is usually the independent variable. Other quantities, such as velocity, are said to depend upon it. A graph of velocity versus time, therefore, would have velocity on the vertical axis (dependent variable) and time on the horizontal axis (independent variable). The slope in a velocity versus time graph, is the acceleration.","[
  {
  ""objective"": ""Explain the meaning of slope and area in velocity vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_01"" , ""kw_02""]
  }
  },
  {
  ""objective"": ""Solve problems using velocity vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"", ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_07_04"",
  ""NCERT_SC_09_07_05"",
  ""NCERT_PH_11_02_03""
  ]",,
OS_PH_HS_03_01,OS_PH_HS_03,OS_PH_HS,Acceleration,"Acceleration is a vector quantity that describes the rate of change of an object's velocity over time. It indicates how quickly an object is speeding up or slowing down. Acceleration can occur in three ways: an increase in speed (positive acceleration), a decrease in speed (negative acceleration, or deceleration), or a change in direction while maintaining speed (e.g., circular motion).
 Acceleration is measured in units of meters per second squared. It plays a crucial role in understanding the dynamics of motion, especially when analyzing forces and the motion of objects under various conditions.","[
  {
  ""objective"": ""Explain the meaning of slope and area in velocity vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_04""],
  ""knowledge"": [""kw_01"" , ""kw_02""]
  }
  },
  {
  ""objective"": ""Solve problems using velocity vs. time graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"" , ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_07_04"",
  ""NCERT_SC_09_07_05"",
  ""NCERT_PH_11_02_03""
  ]",,
OS_PH_HS_03_02,OS_PH_HS_03,OS_PH_HS,Representing Acceleration with Equations and Graphs,"Acceleration is the rate of change of velocity over time. Graphically, acceleration is shown as the slope of a velocity-time graph or through an acceleration-time graph. These representations help visualize how an object's speed and direction change during motion. The kinematic equations show how time, displacement, velocity, and acceleration are related for objects in motion. In general, kinematic problems can be solved by identifying the kinematic equation that expresses the unknown in terms of the knowns.
 Displacement, velocity, and acceleration may be displayed graphically versus time. The kinematic equations in the section are valid only for constant acceleration.","[
  {
  ""objective"": ""Explain the kinematic equations related to acceleration and illustrate them with graphs"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"" , ""cg_04"", ""cg_06"" ],
  ""knowledge"": [ ""kw_02"" , ""kw_03""]
  }
  },
  {
  ""objective"": ""Apply the kinematic equations and related graphs to problems involving acceleration"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"" , ""cg_03"" , ""cg_04""],
  ""knowledge"": [""kw_02"" , ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_07_04"",
  ""NCERT_SC_09_07_05"",
  ""NCERT_PH_11_02_04""
  ]",,
OS_PH_HS_04_01,OS_PH_HS_04,OS_PH_HS,Force,"Force is a vector quantity that represents a push or pull on an object, capable of changing its motion or shape. It is defined by magnitude, direction, and point of application, with examples like gravitational force, friction, and tension.
 Dynamics is the study of how forces affect the motion of objects and systems. 
 External forces are any forces outside of a body that act on the body. A free-body diagram is a drawing of all external forces acting on a body.","[
  {
  ""objective"": ""Differentiate between force, net force, and dynamics"",
  ""dimensions"": {
  ""cognitive"": [""cg_02"", ""cg_04""],
  ""knowledge"": [""kw_01"", ""kw_02""]
  }
  },
  {
  ""objective"": ""Draw a free-body diagram."",
  ""dimensions"": {
  ""cognitive"": [""cg_03"", ""cg_04""],
  ""knowledge"": [""kw_02"", ""kw_03""]
  }
  }
  ]","[
  ""NCERT_SC_09_08_01"",
  ""NCERT_PH_11_04_01"", 
  ]",,
